@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  2.44841942400000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  9.4873e-20  0.0000e+00  0.0000e+00    0
  2.49995961600000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  9.1163e-20  0.0000e+00  0.0000e+00    0
  2.55149980800000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  8.7663e-20  0.0000e+00  0.0000e+00    0
  2.60304000000000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  8.4358e-20  0.0000e+00  0.0000e+00    0
  0.00000000000000000000e+00  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  0.0000e+00  0.0000e+00  0.0000e+00    0
  2.60304000000000000000e+15  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.1878e-18  0.0000e+00  0.0000e+00    0
  7.75705920000000000000e+15  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.1457e-18  0.0000e+00  0.0000e+00    0
  1.29110784000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.0662e-18  0.0000e+00  0.0000e+00    0
  1.80650976000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.9576e-18  0.0000e+00  0.0000e+00    0
  2.32191168000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.8294e-18  0.0000e+00  0.0000e+00    0
  2.83731360000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6910e-18  0.0000e+00  0.0000e+00    0
  3.35271552000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5503e-18  0.0000e+00  0.0000e+00    0
  3.86811744000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.4132e-18  0.0000e+00  0.0000e+00    0
  4.38351936000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.2834e-18  0.0000e+00  0.0000e+00    0
  4.89892128000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1633e-18  0.0000e+00  0.0000e+00    0
  5.41432320000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0537e-18  0.0000e+00  0.0000e+00    0
  5.92972512000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.5472e-19  0.0000e+00  0.0000e+00    0
  6.44512704000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.6601e-19  0.0000e+00  0.0000e+00    0
  6.96052896000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.8682e-19  0.0000e+00  0.0000e+00    0
  7.47593088000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.1628e-19  0.0000e+00  0.0000e+00    0
  7.99133280000000000000e+16  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.5350e-19  0.0000e+00  0.0000e+00    0
