@ DOWN TO LYMAN CONTINUUM 
@Carbonaceous - Silicate Model for Interstellar Dust with R_V=3.1
@Tabulated quantities:
@lambda  = wavelength in vacuo (micron)
@albedo  = (scattering cross section)/(extinction cross section)
@<cos>   = <cos(theta)> for scattered light
@C_ext/H = extinction cross section per H nucleon (cm^2/H)
@K_abs   = absorption cross section per mass of dust (cm^2/gram)
@<cos^2> = <cos^(theta)> for scattered light
@
@1.870E-26 = M_dust per H nucleon (gram/H) for this dust model
@1.236E+02 = M_gas/M_dust for this dust model (assuming He/H=0.096)
@
@  lambda    albedo   <cos>  C_ext/H    K_abs   <cos^2>
@ (micron)                   (cm^2/H)  (cm^2/g)          comment
@----------- ------  ------ --------- --------- ------- --------
2.95121E+02 0.0000 -0.0049 5.168E-26 2.764E+00 0.40000
2.88403E+02 0.0000 -0.0049 5.439E-26 2.909E+00 0.40000
2.81838E+02 0.0000 -0.0048 5.726E-26 3.063E+00 0.40000
2.75423E+02 0.0000 -0.0048 6.030E-26 3.225E+00 0.40000
2.69153E+02 0.0000 -0.0047 6.354E-26 3.399E+00 0.40000
2.63027E+02 0.0000 -0.0047 6.699E-26 3.583E+00 0.40000
2.57040E+02 0.0000 -0.0046 7.063E-26 3.778E+00 0.40000
2.51189E+02 0.0000 -0.0046 7.446E-26 3.983E+00 0.40000
2.45471E+02 0.0000 -0.0045 7.829E-26 4.187E+00 0.40000
2.39883E+02 0.0000 -0.0044 8.216E-26 4.395E+00 0.40000
2.34423E+02 0.0000 -0.0043 8.608E-26 4.604E+00 0.40000
2.29087E+02 0.0000 -0.0043 9.020E-26 4.825E+00 0.40000
2.23872E+02 0.0000 -0.0042 9.453E-26 5.056E+00 0.40000
2.18776E+02 0.0000 -0.0041 9.909E-26 5.300E+00 0.40000
2.13796E+02 0.0000 -0.0040 1.039E-25 5.556E+00 0.40000
2.08930E+02 0.0000 -0.0039 1.089E-25 5.825E+00 0.40000
2.04174E+02 0.0000 -0.0038 1.142E-25 6.108E+00 0.40000
1.99526E+02 0.0000 -0.0037 1.197E-25 6.404E+00 0.40000
1.94984E+02 0.0000 -0.0035 1.256E-25 6.716E+00 0.40000
1.90546E+02 0.0000 -0.0034 1.317E-25 7.043E+00 0.40000
1.86209E+02 0.0000 -0.0033 1.381E-25 7.388E+00 0.40000
1.81970E+02 0.0000 -0.0031 1.449E-25 7.751E+00 0.40000
1.77828E+02 0.0000 -0.0030 1.521E-25 8.133E+00 0.40000
1.73780E+02 0.0000 -0.0028 1.596E-25 8.537E+00 0.40000
1.69824E+02 0.0000 -0.0026 1.676E-25 8.963E+00 0.40000
1.65959E+02 0.0000 -0.0024 1.760E-25 9.415E+00 0.40000
1.62181E+02 0.0000 -0.0022 1.850E-25 9.895E+00 0.40000
1.58489E+02 0.0000 -0.0020 1.946E-25 1.041E+01 0.40000
1.54882E+02 0.0000 -0.0017 2.048E-25 1.096E+01 0.40000
1.51356E+02 0.0000 -0.0015 2.159E-25 1.155E+01 0.40000
1.47911E+02 0.0000 -0.0012 2.278E-25 1.219E+01 0.40000
1.44544E+02 0.0000 -0.0009 2.408E-25 1.288E+01 0.40000
1.41254E+02 0.0000 -0.0006 2.544E-25 1.361E+01 0.40000
1.38038E+02 0.0000 -0.0002 2.679E-25 1.433E+01 0.40000
1.34896E+02 0.0000  0.0002 2.802E-25 1.499E+01 0.40000
1.31826E+02 0.0000  0.0005 2.917E-25 1.560E+01 0.40000
1.28825E+02 0.0000  0.0010 3.035E-25 1.623E+01 0.40000
1.25893E+02 0.0000  0.0014 3.162E-25 1.691E+01 0.40000
1.23027E+02 0.0000  0.0019 3.300E-25 1.765E+01 0.40000
1.20226E+02 0.0000  0.0024 3.450E-25 1.845E+01 0.40000
1.17490E+02 0.0000  0.0029 3.611E-25 1.931E+01 0.40000
1.14815E+02 0.0000  0.0035 3.784E-25 2.024E+01 0.40000
1.12202E+02 0.0000  0.0041 3.969E-25 2.123E+01 0.40000
1.09648E+02 0.0000  0.0046 4.165E-25 2.228E+01 0.40000
1.07152E+02 0.0000  0.0052 4.373E-25 2.339E+01 0.40000
1.04713E+02 0.0000  0.0058 4.594E-25 2.457E+01 0.40000
1.02329E+02 0.0000  0.0063 4.828E-25 2.582E+01 0.40000
1.00000E+02 0.0000  0.0068 5.076E-25 2.715E+01 0.40000
9.77237E+01 0.0000  0.0072 5.338E-25 2.855E+01 0.40000
9.54993E+01 0.0000  0.0076 5.615E-25 3.003E+01 0.40000
9.33254E+01 0.0000  0.0081 5.908E-25 3.160E+01 0.40000
9.12011E+01 0.0000  0.0084 6.217E-25 3.325E+01 0.40000
8.91251E+01 0.0000  0.0088 6.542E-25 3.499E+01 0.40000
8.70964E+01 0.0000  0.0091 6.889E-25 3.684E+01 0.40000
8.51138E+01 0.0000  0.0093 7.256E-25 3.881E+01 0.40000
8.31764E+01 0.0000  0.0095 7.643E-25 4.088E+01 0.40000
8.12831E+01 0.0000  0.0094 8.054E-25 4.308E+01 0.40000
7.94328E+01 0.0000  0.0093 8.488E-25 4.540E+01 0.40000
7.76247E+01 0.0000  0.0090 8.945E-25 4.785E+01 0.40000
7.58578E+01 0.0000  0.0087 9.431E-25 5.044E+01 0.40000
7.41310E+01 0.0000  0.0082 9.943E-25 5.318E+01 0.40000
7.24436E+01 0.0001  0.0077 1.048E-24 5.607E+01 0.40000
7.07946E+01 0.0001  0.0070 1.105E-24 5.911E+01 0.40000
6.91831E+01 0.0001  0.0063 1.166E-24 6.235E+01 0.40000
6.76083E+01 0.0001  0.0054 1.230E-24 6.578E+01 0.40000
6.60693E+01 0.0001  0.0045 1.298E-24 6.941E+01 0.40000
6.45654E+01 0.0001  0.0035 1.369E-24 7.323E+01 0.40000
6.30957E+01 0.0001  0.0024 1.445E-24 7.728E+01 0.40000
6.16595E+01 0.0001  0.0012 1.525E-24 8.157E+01 0.40000
6.02560E+01 0.0001  0.0000 1.610E-24 8.611E+01 0.40000
5.88844E+01 0.0001 -0.0013 1.700E-24 9.091E+01 0.40000
5.75440E+01 0.0001 -0.0025 1.795E-24 9.600E+01 0.40000
5.62341E+01 0.0001 -0.0038 1.896E-24 1.014E+02 0.40000
5.49541E+01 0.0001 -0.0051 2.003E-24 1.071E+02 0.40000
5.37032E+01 0.0001 -0.0064 2.117E-24 1.132E+02 0.40000
5.24807E+01 0.0001 -0.0076 2.238E-24 1.197E+02 0.40000
5.12861E+01 0.0001 -0.0089 2.365E-24 1.265E+02 0.40000
5.01187E+01 0.0001 -0.0100 2.502E-24 1.338E+02 0.40000
4.89779E+01 0.0001 -0.0110 2.646E-24 1.415E+02 0.40000
4.78630E+01 0.0001 -0.0119 2.801E-24 1.498E+02 0.40000
4.67735E+01 0.0001 -0.0127 2.965E-24 1.586E+02 0.40000
4.57088E+01 0.0001 -0.0134 3.141E-24 1.680E+02 0.40000
4.46684E+01 0.0001 -0.0140 3.328E-24 1.780E+02 0.40000
