@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  1.17017120000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.1880e-18  4.7561e+31  0.0000e+00    0
  1.18498160000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.0367e-18  4.7580e+31  0.0000e+00    0
  1.19979200000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.8908e-18  4.7598e+31  0.0000e+00    0
  1.21460240000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.7502e-18  4.7615e+31  0.0000e+00    0
  1.22941280000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.6145e-18  4.7632e+31  0.0000e+00    0
  1.24422320000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.4835e-18  4.7648e+31  0.0000e+00    0
  1.25903360000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.3570e-18  4.7663e+31  0.0000e+00    0
  1.27384400000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.2349e-18  4.7679e+31  0.0000e+00    0
  1.28865440000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.1168e-18  4.7693e+31  0.0000e+00    0
  1.30346480000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.0027e-18  4.7707e+31  0.0000e+00    0
  1.31827520000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.8924e-18  4.7721e+31  0.0000e+00    0
  1.33308560000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.7856e-18  4.7734e+31  0.0000e+00    0
  1.34789600000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.6823e-18  4.7747e+31  0.0000e+00    0
  1.36270640000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.5823e-18  4.7759e+31  0.0000e+00    0
  1.37751680000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.4854e-18  4.7771e+31  0.0000e+00    0
  1.39232720000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.3916e-18  4.7783e+31  0.0000e+00    0
  1.40713760000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.3006e-18  4.7794e+31  0.0000e+00    0
  1.42194800000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.2125e-18  4.7805e+31  0.0000e+00    0
  1.43675840000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.1270e-18  4.7815e+31  0.0000e+00    0
  1.45156880000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.0441e-18  4.7826e+31  0.0000e+00    0
  1.46637920000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.9637e-18  4.7836e+31  0.0000e+00    0
  1.48118960000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.8856e-18  4.7845e+31  0.0000e+00    0
  1.49600000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.8098e-18  3.9055e+31  0.0000e+00    0
  1.51096000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  3.9836e+31  0.0000e+00    0
  1.52592000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.0625e+31  0.0000e+00    0
  1.54088000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.1421e+31  0.0000e+00    0
  1.55584000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.2225e+31  0.0000e+00    0
  1.57080000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.3037e+31  0.0000e+00    0
  1.58576000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.3857e+31  0.0000e+00    0
  1.60072000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.4685e+31  0.0000e+00    0
  1.61568000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.5520e+31  0.0000e+00    0
  1.63064000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.6363e+31  0.0000e+00    0
  1.64560000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.7213e+31  0.0000e+00    0
  1.66056000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.8072e+31  0.0000e+00    0
  1.67552000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.8938e+31  0.0000e+00    0
  1.69048000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  4.9812e+31  0.0000e+00    0
  1.70544000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  5.0693e+31  0.0000e+00    0
  1.72040000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  5.1583e+31  0.0000e+00    0
  1.73536000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  5.2480e+31  0.0000e+00    0
  1.75032000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  5.3385e+31  0.0000e+00    0
  1.76528000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  5.4297e+31  0.0000e+00    0
  1.78024000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  5.5217e+31  0.0000e+00    0
  1.79520000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0478e-18  0.0000e+00  0.0000e+00    0
  0.00000000000000000000e+00  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  0.0000e+00  0.0000e+00  0.0000e+00    0
  1.49600000000000000000e+15  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  3.8098e-16  0.0000e+00  0.0000e+00    0
